Playlist Name,Song,Artist,Full Artist,Album
Drust + Akshita,Deewaniyat,Vishal Mishra,"Vishal Mishra, Kaushik-Guddu, Kunaal Vermaa","Deewaniyat (From ""Ek Deewane Ki Deewaniyat"") (Original Motion Picture Soundtrack)"
Drust + Akshita,Closer,The Chainsmokers,"The Chainsmokers, Halsey",Closer
Drust + Akshita,Voices,SAJANN,"SAJANN, B Majxr, deep sidhu",Voices
Drust + Akshita,Counting Stars,OneRepublic,OneRepublic,Native
Drust + Akshita,That Girl,Amrinder Gill,"Amrinder Gill, Raj Ranjodh, Dr Zeus",Judaa 3 Chapter 2
Drust + Akshita,Treat You Better,Shawn Mendes,Shawn Mendes,Illuminate
Drust + Akshita,Raataan Lambiyan,Tanishk Bagchi,"Tanishk Bagchi, Jubin Nautiyal, Asees Kaur","Raataan Lambiyan (From ""Shershaah"")"
Drust + Akshita,Jab Tak,Armaan Malik,Armaan Malik,Bollywood Romantic Songs With Armaan Malik
Drust + Akshita,Kiss Me More,Doja Cat,"Doja Cat, SZA",Planet Her
Drust + Akshita,deja vu,Olivia Rodrigo,Olivia Rodrigo,SOUR
Drust + Akshita,Pink Lips,Meet Bros Anjjan,"Meet Bros Anjjan, Khushboo Grewal",Hate Story 2
Drust + Akshita,Bandook Meri Laila,Ash King,"Ash King, Jigar Saraiya, Sachin-Jigar, Raftaar, Sidharth Malhotra","Bandook Meri Laila (From ""A Gentleman"")"
Drust + Akshita,Aa Zara,Sunidhi Chauhan,"Sunidhi Chauhan, Sangeet & Siddharth, Kumaar",Murder 2
Drust + Akshita,Bebo,Anu Malik,"Anu Malik, Alisha Chinai",Kambakkht Ishq (Original Motion Picture Soundtrack)
Drust + Akshita,Khuda Jaane,Vishal-Shekhar,"Vishal-Shekhar, KK, Shilpa Rao, Anvita Dutt Guptan",Bachna Ae Haseeno
Drust + Akshita,Pehli Dafa,Atif Aslam,"Atif Aslam, Shiraz Uppal, Shakeel Sohail",Pehli Dafa
Drust + Akshita,Chaandaniya,Mohan Kannan,"Mohan Kannan, Yashita Sharma, Shankar-Ehsaan-Loy, Amitabh Bhattacharya",2 States
Aham aham,Right Now Now,Wajid,"Wajid, Sunidhi Chauhan, Suzanne D'Mello",Housefull 2
Aham aham,First Kiss,Yo Yo Honey Singh,"Yo Yo Honey Singh, Ipsitaa",First Kiss
Aham aham,Jaanam,Vishal Mishra,Vishal Mishra,"Jaanam (From ""Bad Newz"")"
Aham aham,Stuck with U,Ariana Grande,"Ariana Grande, Justin Bieber",Stuck with U
Aham aham,Bad Boy X Bad Girl,Badshah,"Badshah, Nikhita Gandhi",Bad Boy X Bad Girl (feat. Nikhita Gandhi)
Aham aham,Diet Mountain Dew,Lana Del Rey,Lana Del Rey,Born To Die - The Paradise Edition
Aham aham,Creepin',Metro Boomin,"Metro Boomin, The Weeknd, 21 Savage",HEROES & VILLAINS
Aham aham,One Of The Girls,The Weeknd,"The Weeknd, JENNIE, Lily-Rose Depp",The Idol Episode 4 (Music from the HBO Original Series)
Aham aham,34+35,Ariana Grande,Ariana Grande,Positions
Rap,YEDA YUNG,YUNG DSA,"YUNG DSA, Year Down",YEDA YUNG
Story,Bahon Mein Chale Aao,Lata Mangeshkar,Lata Mangeshkar,Lata Surili Phuljhadi
Story,Tose Naina,Arijit Singh,"Arijit Singh, Hanif Shaikh",Mickey Virus
